date,shop,items,cost,method,category,notes
25-Oct,Sainsbury's,Food,£6.30,Halifax debit,food,,,,
28-Oct,TCA,Climbing,£5.50,cash,sport,,,,
29-Oct,Boots,Lunch,£2.99,cash,food,,,,
29-Oct,Sainsbury's,Food,£16.33,Halifax debit,food,,,,
30-Oct,Sue & Jesse Burrows,Rent weekly,£90.00,cash,accom,,,,
31-Oct,Watershed,Repo Man,£4.50,cash,entertainment,Loyalty card ~£1.75,,,
31-Oct,Caffe Gusto,Hot choc,£2.35,cash,entertainment,,,,
31-Oct,Street stall,Sepulchre,£3.00,cash,entertainment,
01-Nov,Sainsbury's,Food,£8.70,Halifax debit,food,
02-Nov,Ryman,Pen,£1.49,cash,living,
02-Nov,Vodafone,Phone credit,£20.00,Halifax debit,comms,
03-Nov,Undercover Rock,Climbing,£6.00,cash,sport,
04-Nov,Sainsbury's,Food,£5.14,cash,food,
05-Nov,Sainsbury's,Food,£6.21,Halifax debit,food,
06-Nov,Tesco,Wispa,£0.72,cash,food,
07-Nov,Watershed,The Defiant Ones,£4.50,cash,entertainment,Loyalty card ~£2.20
08-Nov,Sue & Jesse Burrows,Rent weekly,£90.00,cash,accom,
08-Nov,Sainsbury's,Food,£17.94,Halifax debit,food,
08-Nov,Waitrose,Food,£5.00,cash,food,
08-Nov,Sainsbury's,Food,£3.16,cash,food,
09-Nov,Sainsbury's,Food,£15.95,Halifax debit,food,
09-Nov,Thekla,Hafdis Huld,£8.00,cash,entertainment,
12-Nov,Sue & Jesse Burrows,Rent weekly,£90.00,cash,accom,
13-Nov,Sainsbury's,Food,£17.20,Halifax debit,food
13-Nov,Waitrose,Food,£0.99,cash,food
14-Nov,Waitrose,Food,£1.35,cash,food
14-Nov,Eukhost,Domains,£24.00,Halifax debit,tech
15-Nov,Sainsbury's,Food,£3.46,cash,food
17-Nov,Post Office,Food,£2.19,cash,food
18-Nov,Chris van Marle,Skiing Holiday Payment,£585.50,E-Transfer,holiday
19-Nov,Sue & Jesse Burrows,Rent weekly,£90.00,cash,accom
19-Nov,H&M,Shirts,£18.98,cash,clothes
19-Nov,Birthdays,Card,£1.59,cash,gift
19-Nov,Tesco,Food,,cash,food
20-Nov,The White Bear,Tea,£1.30,cash,entertainment
20-Nov,Sainsbury's,Food,£6.05,cash,food
21-Nov,Luxair,Flight for Xmas,177.74EUR,BCEE credit,travel
21-Nov,Key Store,BD Card,£2.19,cash,gift
21-Nov,Habitat,Gingerbread set,£2.80,cash,gift
22-Nov,Sainsbury's,Food,£2.89,cash,food,
24-Nov,TCA,Climbing,£5.50,cash,sport,
26-Nov,Boots,Lunch,£0.75,cash,food,
26-Nov,Sainsbury's,Food,£22.37,Halifax debit,food,
26-Nov,Waitrose,Food,£0.79,cash,food,
26-Nov,Sue & Jesse Burrows,Rent weekly,£90.00,cash,accom,
27-Nov,Sainsbury's,Food,£5.65,Halifax debit,food,
27-Nov,Watershed,Uncle Boonmee,£4.50,cash,entertainment,Loyalty card ~£2.65
29-Nov,Sainsbury's,Food,£6.92,Halifax debit,food,
30-Nov,TCA,Climbing,£5.50,cash,sport,
30-Nov,Damien McIntyre,Deposit,£425.00,Halifax cheque,accom,
03-Dec,Sainsbury's,Food,£17.14,Halifax debit,food,
03-Dec,TCA,Climbing,£5.50,cash,sport,
04-Dec,Sue & Jesse Burrows,Rent weekly,£90.00,cash,accom,
04-Dec,Snowboard Addiction,Video DL,£16.20,Halifax debit,sport,
05-Dec,Watershed,Conte de Noel,£4.50,cash,entertainment,Loyalty card ~£3.10
05-Dec,Sainsbury's,Food,£5.88,cash,food
05-Dec,Rohan,Socks for Dad,£13.00,cash,gift
06-Dec,Megabus,Xmas buses,£14.50,Halifax debit,travel
07-Dec,Sainsbury's,Food,£0.00,,food
08-Dec,Waitrose,Food,£0.55,cash,food
08-Dec,Undercover Rock,Climbing,£6.00,cash,sport
09-Dec,Damien McIntyre,Rent Dec,£425.00,E-Transfer,accom
09-Dec,Boulangerie,Cake,£0.95,cash,food
09-Dec,Guild,Chocolates,£7.00,cash,gift
09-Dec,Flower Lady,Flowers,£12.00,cash,gift
10-Dec,Tesco,Lunch,£0.82,cash,food
10-Dec,Welsh Back,Squash,£5.00,cash,sport
10-Dec,YHA,Drink,£1.95,cash,food
10-Dec,Tesco,Food,£4.33,cash,food
11-Dec,Tesco,Lunch,£0.62,cash,food
11-Dec,Lidl,Household supplies,£9.15,cash,living
11-Dec,Tesco,Banana,£0.19,cash,food,
11-Dec,Marks & Spencer,Handkerchiefs,£5.00,cash,gift,
11-Dec,Market Stall,Scarf,£5.00,cash,gift,
11-Dec,Tesco,Veg,£2.30,cash,food,
12-Dec,Watershed,Scrooged,£4.50,cash,entertainment,Loyalty card ~£4
12-Dec,The Body Shop,Shower Gel Set,£10.00,cash,gift,
12-Dec,Spar,Snickers,£0.85,cash,food,
12-Dec,Tesco,Food,£4.97,cash,food,
13-Dec,Tesco,Lunch,£0.82,cash,food,
13-Dec,Lounge,Drink,£1.95,cash,food,
13-Dec,Wilkinson,Household supplies,£6.44,cash,living,
14-Dec,TCA,Climbing,£5.50,cash,sport,
14-Dec,Tesco,Food,£8.15,cash,food,
15-Dec,Watershed,Somewhere,£4.50,cash,entertainment,Loyalty card ~£4.45
16-Dec,Wilkinson,Household supplies,£9.18,cash,living,
17-Dec,Tesco,Food,£3.43,cash,food,
03-Jan,Vodafone,Topup,£20.00,cash,comms,
03-Jan,Taxi,Taxi ride home,£10.00,cash,travel,
04-Jan,Tesco,Food,£14.76,Halifax debit,food,
04-Jan,Asda,Food,£12.77,cash,food,
05-Jan,Wilkinson,Tissues,£1.50,cash,living,
05-Jan,Asda,Food,£10.34,cash,food,
06-Jan,Lounge,Hot choc,£2.20,cash,food,
06-Jan,Aldi,Food,£5.10,cash,food,
06-Jan,Sainsbury's,Food,£18.37,cash,food,
06-Jan,IKEA,Furniture,£57.53,Halifax debit,living,
08-Jan,Mud Dock,Bike lube,£3.00,cash,travel,
08-Jan,Market Stall,Nepalese Hat / Tea Cosy,£6.00,cash,clothes,
08-Jan,Wilkinson,Shampoo,£2.94,cash,hygiene,
08-Jan,Book Extra,Calendar,£1.99,cash,living,
08-Jan,Watershed,The Way Back,£4.60,cash,entertainment,Loyalty card £4.91
08-Jan,Skype,£10 calling credit,£11.50,PayPal,comms,
09-Jan,Watershed,"You, The Living",£0.00,Loyalty card,entertainment,Loyalty card £0.31
09-Jan,Sainsbury's,Bananas,£0.63,cash,food,
09-Jan,Tesco,Food,£8.54,cash,food,
09-Jan,Damien McIntyre,Rent + Broadband,£435.00,E-Transfer,accom,
10-Jan,Specsavers,Glasses,£25.00,cash,health,
10-Jan,Neil,Tripod,£10.00,cash,tech,
10-Jan,Asda,Food,£5.96,cash,food,
11-Jan,eBay,DVD-Rs,£10.79,PayPal,tech,
11-Jan,eBay,Kensington lock,£3.48,PayPal,tech,
12-Jan,Tesco,Food,£4.76,cash,food,
14-Jan,Folk House,Italian course,£59.50,Halifax debit,education,
14-Jan,Wilkinson,Cleaning products,£1.91,cash,hygiene,
14-Jan,Asda,Food,£19.19,cash,food,
14-Jan,Asda,Paper,£0.20,cash,entertainment,
17-Jan,Post Office,12 stamps,£3.80,cash,comms,
17-Jan,Card Factory,Birthday card,£0.89,cash,gift,
17-Jan,Tesco,Food,£1.71,cash,food,
18-Jan,Sainsbury's,Food,£18.80,cash,food,
19-Jan,Wilkinson,Miscellanea,£14.90,cash,living,
20-Jan,DVLA,Licence renewal,£20.00,cheque,living,
20-Jan,Watershed,Blue Valentine,£7.20,cash,entertainment,Loyalty card £1.03
21-Jan,Tesco,Newspaper,£0.20,cash,education,
21-Jan,Asda,Food,£17.41,cash,food,
22-Jan,Amazon.co.uk,Blender,£22.50,Halifax debit,tech,
24-Jan,Tesco,Food,£3.22,cash,food,
25-Jan,Tesco,Food,£3.40,cash,food,
26-Jan,Tesco,Food,£5.03,cash,food,
26-Jan,Sainsbury's,Chocolate,£1.00,cash,food,
26-Jan,Second Look,Photomarathon registration,£7.00,PayPal,entertainment,
26-Jan,Showcase,Black Swan,£5.80,Halifax debit,entertainment,
28-Jan,Asda,Food,£10.59,cash,food,
29-Jan,Julian Graves,Nut mix,£1.99,cash,food,
29-Jan,Primark,Rucksack,£3.00,cash,living
29-Jan,Marks & Spencer,Sauces,£1.83,cash,food
29-Jan,Wilkinson,Water,£0.60,cash,food
30-Jan,Tesco,Food,£1.67,cash,food
31-Jan,Asda,Food,£15.01,cash,food
03-Feb,GSTC,Tennis winter membership,£10.00,cheque,sport
03-Feb,Aldi,Food,£3.75,cash,food
03-Feb,Sainsbury's,Food,£12.04,cash,food
04-Feb,Tesco,Newspaper,£0.20,cash,entertainment
04-Feb,Southville Pool,Swim,£3.20,cash,sport
04-Feb,Tesco,Food,£1.84,cash,food
04-Feb,South Bank Arts Club,The Cremator,£3.00,cash,entertainment
06-Feb,Tesco,Food,£1.86,cash,food
07-Feb,Asda,Food,£20.74,cash,food
08-Feb,Damien McIntyre,Rent + Broadband,£435.00,E-Transfer,accom
09-Feb,Wilkinson,Home items,£6.30,cash,living
09-Feb,Lidl,Food,£4.45,cash,food
11-Feb,Tesco,Paper,£0.20,cash,education
11-Feb,TCA,Climbing,£5.50,cash,sport
12-Feb,Bath Roman Shop,Sandwich,£3.50,cash,food
12-Feb,Sainsbury's,Snacks,£2.48,cash,food
12-Feb,Asda,Food,£19.85,cash,food
13-Feb,Tesco,Milk,£0.86,cash,food
14-Feb,Tesco,Nutella,£3.00,cash,food
14-Feb,Sainsbury's,Food,£9.49,cash,food
15-Feb,MusicGlue,Tina Dico ticket,£11.00,Halifax debit,entertainment
16-Feb,Welsh Back,Squash 12 month renewal,£50.00,cash,sport
16-Feb,Asda,Food,£6.66,cash,food
18-Feb,Welsh Back,Squash,£5.00,cash,sport
19-Feb,TCA,Climbing,£8.00,cash,sport
19-Feb,Asda,Food,£10.07,cash,food
20-Feb,eBay,Topman striped jumper,£2.99,PayPal,clothes
20-Feb,eBay,LED keyring torches,£3.79,PayPal,entertainment,
21-Feb,Welsh Back,Squash,£5.00,cash,sport,
21-Feb,Tesco,Food,£0.70,cash,food,
22-Feb,Asda,Food,£15.09,cash,food,
22-Feb,Tesco,Food,£3.71,cash,food,
23-Feb,Welsh Back,Squash,£5.00,cash,sport,
24-Feb,eBay,Kodak film x3,£7.99,PayPal,entertainment,
24-Feb,eBay,LED finger beams,£2.89,PayPal,entertainment,
24-Feb,eBay,M&S tie,£2.24,PayPal,clothes,
25-Feb,TCA,Climbing,£5.50,cash,sport,
25-Feb,Tesco,Food,£1.06,cash,food,
25-Feb,Sainsbury's,Food,£18.65,cash,food,
26-Feb,Welsh Back,Squash,£5.00,cash,sport,
02-Mar,Asda,Food,£11.93,cash,food,
03-Mar,eBay,Folkespeare tie,£2.98,PayPal,clothes,
03-Mar,Watershed,Animal Kingdom,£7.20,Halifax debit,entertainment,Loyalty card £1.75
03-Mar,Watershed,Drink,£1.50,cash,entertainment
04-Mar,Tesco,Paper,£0.20,cash,education
05-Mar,Tesco,Food,£1.94,cash,food
05-Mar,Second Look,Photomarathon negatives,£1.00,cash,entertainment
05-Mar,Start The Bus,Drinks,£5.55,cash,entertainment
06-Mar,South Bank Arts Club,The Band's Visit,£3.00,cash,entertainment
07-Mar,Wilkinson,Home items,£4.35,cash,living
07-Mar,Asda,Food,£8.75,cash,food
08-Mar,Damien McIntyre,Rent + Broadband,£435.00,E-Transfer,accom
09-Mar,Asda,Food,£12.48,cash,food
09-Mar,Post Office,Book Swap,£1.95,cash,entertainment
11-Mar,TCA,Climbing,£5.50,cash,sport
11-Mar,Tesco,Food,£1.06,cash,food
11-Mar,Asda,Food,£2.54,cash,food
12-Mar,Sainsbury's,Food,£3.00,cash,food
12-Mar,Waterstones,50 Mathematical ideas,£0.00,gift card,education
14-Mar,Argus Fish Bar,Cod & Chips,£4.95,cash,food
14-Mar,Tesco,Food,£3.94,cash,food
15-Mar,Post Office,Book Swap,£1.95,cash,entertainment
15-Mar,Tesco,Juice,£3.00,cash,food
16-Mar,Sainsbury's,Food,£22.70,cash,food
19-Mar,Sainsbury's,Food,£2.00,cash,food
19-Mar,Arnolfini,Linda Linda Linda,£6.50,cash,entertainment
20-Mar,Arnolfini,Sawako Decides,£6.50,cash,entertainment
20-Mar,Tesco,Food,£1.86,cash,food
20-Mar,Tesco,Eggs,£1.60,cash,food
21-Mar,Asda,Food,£10.77,cash,food
23-Mar,eBay,German book Themen,£3.04,PayPal,education
23-Mar,eBay,German book Unterwegs,£2.77,PayPal,education
23-Mar,eBay,Tennis balls,£6.95,PayPal,sport
23-Mar,Sainsbury's,Food,£1.75,cash,food
25-Mar,Tesco,Food,£2.81,cash,food
26-Mar,Asda,Food,£20.43,cash,food,
28-Mar,Tesco,Food,£3.22,cash,food,
29-Mar,Watershed,Submarine,£7.20,Halifax debit,entertainment,Loyalty card £2.43
29-Mar,Tesco,Food,£0.87,cash,food,
30-Mar,EasyJet,Edinburgh wedding trip,£72.48,Halifax debit,travel,
31-Mar,Asda,Food,£15.38,cash,food,
01-Apr,Tesco,Newspaper,£0.20,cash,education,
02-Apr,Showcase,Source Code,£7.90,cash,entertainment,
02-Apr,Sainsbury's,Food,£0.56,cash,food,
02-Apr,Primark,Clothes,£5.90,cash,clothes,
02-Apr,Poundland,Pens,£1.00,cash,living,
02-Apr,Asda,Food,£2.27,cash,food,
05-Apr,GSTC,Membership,£40.00,E-Transfer,sport,
05-Apr,Tesco,Food,£4.12,cash,food,
06-Apr,Asda,Food,£15.84,cash,food,
07-Apr,Tesco,Food,£1.00,cash,food,
08-Apr,Tesco,Paper,£0.20,cash,education
08-Apr,Damien McIntyre,Rent + Broadband,£435.00,E-Transfer,accom
09-Apr,Tesco,Roll,£0.31,cash,food
09-Apr,Canal Co.,Canoe hire,£10.00,cash,sport
09-Apr,Canal cafe,Food,£2.20,cash,food
09-Apr,George,Petrol,£2.00,cash,travel
09-Apr,Asda,Food,£8.56,cash,food
10-Apr,Ice Cream Van,Cornetto,£1.20,cash,food
10-Apr,Tesco,Food,£2.72,cash,food
11-Apr,Undercover Rock,Climbing,£7.50,cash,sport
11-Apr,Eurostar,London -> Brussels,£104.00,Halifax debit,travel
12-Apr,eBay,NES controller,£2.99,PayPal,tech
12-Apr,Megabus,Bristol -> London,£11.50,Halifax debit,travel
12-Apr,Post Office,Parcel postage,£3.38,cash,tech
12-Apr,Wilkinson,Notebook,£1.45,cash,education
12-Apr,Asda,Food,£7.73,cash,food
12-Apr,Bloke,Lykke Li ticket,£15.00,cash,entertainment
13-Apr,Humble Software,Humble Bundle,£5.05,PayPal,entertainment
15-Apr,Tesco,Food,£1.51,cash,food
17-Apr,Tesco,Food,£0.98,cash,food
17-Apr,Amazon.co.uk,Sigma lens,£122.95,Halifax debit,tech
18-Apr,Sainsbury's,Food,£21.90,Halifax debit,food
18-Apr,Tesco,Food,£2.23,cash,food
20-Apr,Asda,Food,£15.65,cash,food
21-Apr,Tesco,Food,£2.19,cash,food
22-Apr,Sports Direct,Shorts,£8.99,cash,clothes
22-Apr,Asda,Food,£3.00,cash,food
22-Apr,Asda,Food,£1.00,cash,food
22-Apr,Wilkinson,Food,£1.04,cash,food
23-Apr,Lidl,Food,£6.15,cash,food
24-Apr,Tesco,Food,£3.26,cash,food
25-Apr,Asda,Food,£8.90,cash,food
26-Apr,Folk House,Italian 3,£59.50,Halifax debit,education
26-Apr,Undercover Rock,Climbing,£7.50,cash,sport
26-Apr,Welsh Back,Squash,£5.00,cash,sport
27-Apr,Asda,Food,£4.72,cash,food
29-Apr,Tesco,Food,£1.20,cash,food
30-Apr,Asda,Food,£8.38,cash,food
01-May,Tesco,Food,£0.89,cash,food
02-May,Asda,Food,£9.40,cash,food
03-May,Wilkinson,Home items,£7.77,cash,living
03-May,Lidl,Food,£5.78,cash,food
04-May,Asda,Food,£5.57,cash,food
05-May,Tesco,Food,£3.70,cash,food
05-May,Argus Fish Bar,Large Haddock,£4.20,cash,food
07-May,Asda,Food,£1.61,cash,food
09-May,Gyles Bros,Tennis racket restring,£17.00,Halifax debit,sport
09-May,Tesco,Food,£1.60,cash,food
09-May,Damien McIntyre,Rent + Broadband,£435.00,E-Transfer,accom,
09-May,Vodafone,Credit topup,£10.00,Halifax debit,comms,
18-May,Asda,Food,£11.29,cash,food,
18-May,EUKHost,Hosting + domains,£76.49,Halifax debit,tech,
20-May,Tesco,Food,£4.04,cash,food,
20-May,Argus Fish Bar,Haddock,£4.20,cash,food,
21-May,White Bear,Tea + Panini,£4.90,cash,food,
21-May,Asda,Food,£4.50,cash,food,
23-May,Watershed,Waste Land,£4.60,cash,entertainment,Loyalty card £2.89
23-May,Watershed,Baked potato,£4.75,cash,food,
24-May,Asda,Food,£18.25,cash,food,
25-May,Asda,Food,£14.28,cash,food,
26-May,Tesco,Food,£3.22,cash,food,
26-May,Rachel-Hannah Strong,Tennis Racket,£20.00,cash,sport,
28-May,Asda,Food,£7.74,cash,food,
28-May,Tesco,Food,£1.44,cash,food,
30-May,Tesco,Food,£2.83,cash,food
01-Jun,eBay,Italian book,£4.99,PayPal,education
01-Jun,eBay,USB cable,£1.99,PayPal,tech
01-Jun,eBay,Lead tape,£6.99,PayPal,sport
01-Jun,eBay,Printer refill,£2.95,PayPal,tech
01-Jun,eBay,Digital scales,£6.48,PayPal,tech
01-Jun,Wilkinson,Pegs,£0.57,cash,living
01-Jun,Asda,Food,£10.42,cash,food
01-Jun,Zero G cycles,Pump tube,£1.50,cash,sport
01-Jun,Tesco,Food,£3.70,cash,food
02-Jun,Tesco,Food,£2.69,cash,food
02-Jun,EUKHost,Domain transfer,£12.00,Halifax debit,tech
03-Jun,Tobacco Factory Theatre,Chekhov play,£9.00,cash,entertainment
04-Jun,Soukitchen,Food,£13.00,cash,food
04-Jun,Tesco,Coke,£0.86,cash,food
05-Jun,Co-op,Food,£1.60,cash,food
06-Jun,Tesco,Food,£4.58,cash,food,
06-Jun,Asda,Food,£23.30,cash,food,
07-Jun,Watershed,Le Quattro Volte,£4.60,cash,entertainment,Loyalty card £3.82
07-Jun,Tesco,Food,£1.89,cash,food,
07-Jun,Tesco,Food,£0.66,cash,food,
08-Jun,Asda,Food,£11.90,cash,food,
09-Jun,Damien McIntyre,Rent + Broadband,£435.00,E-Transfer,accom,
10-Jun,Tesco,Paper,£0.38,cash,entertainment,
11-Jun,Tesco,Food,£3.76,cash,food,
12-Jun,Tesco,Milk,£0.89,cash,food,
15-Jun,Asda,Food,£10.33,cash,food,
16-Jun,Tesco,Food,£3.91,cash,food,
18-Jun,Julian Graves,Nuts,£2.99,cash,food,
18-Jun,The Works,Art supplies,£3.98,cash,entertainment,
18-Jun,Wilkinson,Art supplies,£1.27,cash,entertainment,
18-Jun,Asda,Food,£5.86,Halifax debit,food,
19-Jun,Tobacco Factory,OJ,£2.30,cash,social,
20-Jun,Mark's Bread,Focaccia,£1.50,cash,food,
21-Jun,Asda,Food,£14.73,cash,food,
22-Jun,Tesco,Beans,£0.61,cash,food,
23-Jun,Amazon.co.uk,Tennis shoes,£37.50,Halifax debit,sport,
24-Jun,Mark's Bread,Sourdough,£2.50,cash,food,
24-Jun,Asda,Food,£3.92,cash,food,
24-Jun,Marcruss,Poncho,£3.99,cash,clothes,
25-Jun,Wimbledon,Ground pass,£20.00,cash,entertainment,
25-Jun,Tesco,Food,£3.38,cash,food,
26-Jun,Newsagent,Snapple,£1.00,cash,food,
26-Jun,Watershed,Potiche,£7.20,cash,entertainment,Loyalty card £4.54
26-Jun,Tesco,Food,£2.68,cash,food,
28-Jun,Asda,Food,£13.34,cash,food,
29-Jun,Tesco,Food,£1.29,cash,food,
02-Jul,Vodafone,Credit topup,£20.00,cash,comms,
02-Jul,Mum's Bak-A-Yard,Jerk Chicken,£6.00,cash,food
02-Jul,Wilkinson,Tissues,£3.10,cash,living
02-Jul,Asda,Food,£5.97,cash,food
01-Jul,Tesco,Food,£3.74,cash,food
04-Jul,Tesco,Food,£4.44,cash,food
05-Jul,East St Fruit Mkt,Fruit,£6.51,cash,food
05-Jul,Wilkinson,Soap supplies,£3.95,cash,hygiene
06-Jul,Asda,Food,£3.69,cash,food
07-Jul,Asda,Food,£6.69,cash,food
08-Jul,Bristol Airport Bus,Return,£6.00,cash,travel
08-Jul,Superdrug,Water 50ml,£1.00,cash,food
08-Jul,Edinburgh Bus,Return,£6.00,cash,travel
08-Jul,Waverley stall,Bacon bagel,£2.99,cash,food
08-Jul,Ashvale Fish Co,Fish & Chips,£6.20,cash,food
09-Jul,Newsagent,Paper,£0.30,cash,entertainment
09-Jul,Taxi,To Wedding,£7.00,cash,travel
10-Jul,Aurora Guest House,2 Nights' stay,£70.00,Halifax debit,holiday,
10-Jul,Graham & Claire,Wedding present,£40.00,cash,gift,
10-Jul,Poundland,Snickers,£1.00,cash,food,
10-Jul,Peckhams,Border Biscuits,£3.02,cash,food,
10-Jul,New Look,Shorts,£4.00,Halifax debit,clothes,
10-Jul,Edinburgh Airport,Baked potato,£4.95,Halifax debit,food,
11-Jul,Tesco,Milk,£0.89,cash,food,
11-Jul,Watershed,Sawdust & Tinsel,£7.20,cash,entertainment,Loyalty card £5.98
11-Jul,Asda,Bread,£1.40,cash,food,
12-Jul,Damien McIntyre,Rent + Broadband,£435.00,E-Transfer,accom,
13-Jul,Tesco,Food,£1.72,cash,food,
13-Jul,Asda,Food,£13.92,cash,food,
13-Jul,East St Fruit Mkt,Food,£4.25,cash,food,
16-Jul,Tesco,Tesco,£0.99,cash,food,
16-Jul,Argus Fish Bar,Haddock,£4.40,cash,food,
17-Jul,Liam,Peugeot bike,£85.00,cash,sport,
18-Jul,Tesco,Lunch,£2.89,cash,food
18-Jul,Wilkinson,Bike lock,£4.57,cash,food
18-Jul,East St Fruit Mkt,Food,£1.97,cash,food
19-Jul,Asda,Food,£20.37,cash,food
19-Jul,East St Fruit Mkt,Fruit,£3.22,cash,food
20-Jul,Tesco,Snacks,£1.68,cash,food
20-Jul,Zero G cycles,Derailleur bending,£10.00,cash,sport
20-Jul,eBay,Bike computer,£4.70,PayPal,sport
21-Jul,Trainline,Tickets to Scarborough,£113.90,Halifax debit,travel
22-Jul,Tesco,Food,£6.80,cash,food
24-Jul,Market,Flapjack,£1.00,cash,food
24-Jul,Market,Focaccia,£1.80,cash,food
24-Jul,Market,Banana,£0.20,cash,food
24-Jul,Saltford Jolly Sailor,Coke,£1.40,cash,food
24-Jul,Bath Raven,Chips + Coke,£4.00,cash,food
24-Jul,Megabus,London trip,£17.00,Halifax debit,travel
25-Jul,Tesco,Food,£6.36,cash,food
25-Jul,Cube Microplex,Viva Riva,£5.00,cash,entertainment
26-Jul,Asda,Food,£9.64,cash,food
26-Jul,East St Fruit Mkt,Fruit,£4.87,cash,food
26-Jul,eBay,Isotonic drinks,£2.90,PayPal,sport
26-Jul,eBay,Bottle cage,£2.99,PayPal,sport
26-Jul,eBay,Bike parts,£12.95,PayPal,sport
27-Jul,St Christopher's,London stay,£15.50,Halifax debit,holiday
27-Jul,Royal Albert Hall,Prom,£5.00,cash,entertainment
27-Jul,Pizza Express,Pizza with John,£11.00,cash,social
28-Jul,St Christopher's,London stay,£15.50,Halifax debit,holiday
28-Jul,Boots,Lunch,£3.79,cash,food
28-Jul,Greenwich Observatory,Museum entry,£7.00,cash,social
28-Jul,TfL,Oyster top-up,£10.00,Halifax debit,travel
28-Jul,Giraffe,Reunion meal,£17.00,cash,social
29-Jul,Borough Market,Breakfast,£2.86,cash,food
29-Jul,Quick Crepes,Lunch,£3.45,cash,food,
29-Jul,Watershed,Beginners,£0.00,Loyalty card,entertainment,Loyalty card ~£0.85
29-Jul,Tesco,Food,£1.60,cash,food,
30-Jul,Tesco,Choc raisins,£0.71,cash,food,
31-Jul,Harbour Festival,Italian biscuits,£7.00,cash,food,
31-Jul,Tesco,Food,£2.41,cash,food,
01-Aug,Post Office,Book swap,£2.16,cash,education,
01-Aug,Asda,Food,£10.70,cash,food,
01-Aug,East St Fruit Mkt,Fruit,£6.59,cash,food,
02-Aug,Martin Stuart Moore,2 paintings,£20.00,PayPal,gift,
02-Aug,Humble Software,Humble Bundle,£5.05,PayPal,entertainment,
04-Aug,Asda,Food,£20.43,cash,food,
05-Aug,Tesco,Food,£2.61,cash,food,
06-Aug,Asda,Food,£9.46,cash,food,
07-Aug,Tesco,Food,£1.89,cash,food,
09-Aug,Tesco,Food,£1.58,cash,food,
09-Aug,Damien McIntyre,Rent + Broadband,£435.00,E-Transfer,accom
10-Aug,Wilkinson,Frame,£4.00,cash,living
10-Aug,Asda,Food,£5.83,cash,food
10-Aug,Tesco,Food,£1.95,cash,food
11-Aug,Bristol Fine Art Gallery,Frame,£9.95,cash,gift
12-Aug,Tesco,Lunch,£3.02,cash,food
12-Aug,Megabus,Leeds-Bristol ticket,£22.50,Halifax debit,travel
15-Aug,National Rail,York-Leeds,£11.00,Halifax debit,travel
15-Aug,Browns of Heslington,Lunch,£3.35,cash,food
15-Aug,Oxfam,2 books,£3.48,cash,education
15-Aug,Greggs,Sandwich + drink,£1.79,cash,food
17-Aug,Tesco,Ice cream,£2.22,cash,food
17-Aug,Tesco,Food,£2.82,cash,food
17-Aug,Asda,Food,£20.15,cash,food
19-Aug,Tesco,Food,£1.60,cash,food
20-Aug,Asda,Food,£5.17,cash,food
20-Aug,Chaos cycles,Inner tube,£4.00,cash,sport
20-Aug,Indian stand,Samosas,£2.50,cash,food
20-Aug,Newsagent,Paper + bar,£0.90,cash,food
21-Aug,Fox & Hounds,Drinks w/ Eduardo,£5.60,cash,social
21-Aug,Tesco,Food,£2.09,cash,food
22-Aug,Tesco,Lunch,£1.05,cash,food
23-Aug,Asda,Food,£16.29,cash,food
23-Aug,East St Fruit Mkt,Food,£5.49,cash,food
23-Aug,Wilkinson,Tissues,£1.46,cash,hygiene
23-Aug,eBay,Cycling jerseys,£10.62,PayPal,clothes
23-Aug,Tesco,Food,£1.60,cash,food
24-Aug,Lidl,Cleaning stuff,£8.65,cash,living
24-Aug,Tesco,Ice cream,£2.22,cash,food
26-Aug,Wilkinson,Household items,£4.54,cash,living
27-Aug,Asda,Cash,£5.33,cash,food
28-Aug,Tesco,Food,£2.25,cash,food
29-Aug,Myprotein.com,Impact Whey 1kg,£17.20,Halifax debit,food
30-Aug,Tesco,Food,£2.42,cash,food
31-Aug,Asda,Food,£7.46,cash,food
02-Sep,Tesco,Food,£0.89,cash,food
03-Sep,Tesco,Food,£0.85,cash,food
05-Sep,Asda,Food,£9.82,cash,food
05-Sep,East St Fruit Mkt,Food,£2.55,cash,food
05-Sep,Wilkinson,Toothpaste etc,£1.86,cash,hygiene
05-Sep,Simply Supplements,Glucosamine,£4.49,Halifax debit,sport
06-Sep,Tesco,Food,£1.60,cash,food
08-Sep,Sainsbury's,Food,£16.84,cash,food
08-Sep,Tesco,Food,£0.72,cash,food
10-Sep,Southville Deli,Spelt,£1.37,cash,food
10-Sep,Asda,Food,£6.25,cash,food
10-Sep,Tesco,Food,£1.39,cash,food
11-Sep,Ice Cream Van,Ice Cream,£1.50,cash,food
12-Sep,Damien McIntyre,Rent + Broadband,£435.00,E-Transfer,accom,
13-Sep,Tesco,Snacks,£1.65,cash,food,
14-Sep,Tesco,Lunch,£2.50,cash,food,
16-Sep,Asda,Food,£20.90,cash,food,
16-Sep,Folk House,Steve Page,£7.00,cash,entertainment,
17-Sep,Sainsbury's,Food,£2.09,cash,food,
17-Sep,Tesco,Snacks,£1.46,cash,food,
19-Sep,East St Fruit Mkt,Fruit & veg,£6.71,cash,food,
19-Sep,Tesco,Oats,£0.64,cash,food,
20-Sep,Tesco,Maltesers,£1.00,cash,food,
